File,a,b,c_i,c_ii,c_iii,d_i,d_ii,class
1004355.txt,3,3,1,4,0,0,0,low
1007363.txt,2,3,2,5,0,0,0,low
1079196.txt,4,1,4,5,0,0,0,high
1086343.txt,2,4,2,4,0,0,0,low
1096747.txt,1,3,1,5,0,0,0,low
1109085.txt,4,0,3,5,0,0,0,high
1164913.txt,3,3,2,4,0,0,0,low
1174920.txt,1,2,4,5,0,0,0,low
1181356.txt,2,3,4,2,0,0,0,low
1223368.txt,4,1,5,4,0,0,0,high
1239289.txt,2,3,3,2,0,0,0,low
1249928.txt,3,4,4,3,0,0,0,low
1321982.txt,1,4,2,1,0,0,0,low
1346734.txt,1,3,5,5,0,0,0,low
1365003.txt,4,1,5,4,0,0,0,high
1388870.txt,3,3,3,5,0,0,0,low
1392946.txt,5,2,4,5,0,0,0,high
1394540.txt,1,3,4,5,0,0,0,low
1414676.txt,5,0,5,4,0,0,0,high
1431839.txt,5,1,4,4,0,0,0,high
1447041.txt,2,3,4,3,0,0,0,low
1449555.txt,5,1,4,5,0,0,0,high
1453563.txt,4,1,2,5,0,0,0,high
1469088.txt,1,3,2,5,0,0,0,low
1599482.txt,4,3,2,4,0,0,0,high
1604419.txt,1,4,1,1,0,0,0,low
162639.txt,5,1,2,3,0,0,0,high
1648484.txt,1,2,2,2,0,0,0,low
1691426.txt,4,4,2,2,0,0,0,low
1693042.txt,5,1,4,4,0,0,0,high
1703761.txt,3,2,5,3,0,0,0,low
1723586.txt,4,1,3,4,0,0,0,high
1728162.txt,4,3,4,4,0,0,0,high
1784031.txt,1,4,4,5,0,0,0,low
1790750.txt,1,3,1,2,0,0,0,low
1804641.txt,1,4,5,5,0,0,0,low
1812668.txt,1,3,1,5,0,0,0,low
1813924.txt,4,4,3,2,0,0,0,low
1827588.txt,4,0,4,5,0,0,0,high
1834502.txt,5,1,5,2,0,0,0,high
1851482.txt,2,3,2,2,0,0,0,low
186616.txt,4,0,3,4,0,0,0,high
1876159.txt,4,3,3,4,0,0,0,high
1897285.txt,1,4,1,5,0,0,0,low
1942513.txt,5,1,2,4,0,0,0,high
1949465.txt,5,2,3,5,0,0,0,high
1971958.txt,3,3,3,4,0,0,0,low
1974703.txt,1,2,2,5,0,0,0,low
1985615.txt,5,1,3,4,0,0,0,high
206667.txt,2,4,2,2,0,0,0,low
216672.txt,1,4,5,5,0,0,0,low
219983.txt,3,2,5,5,0,0,0,low
230893.txt,4,3,4,5,0,0,0,high
232159.txt,4,3,3,5,0,0,0,high
248917.txt,1,4,3,2,0,0,0,low
265349.txt,4,2,3,4,0,0,0,high
279212.txt,5,1,2,5,0,0,0,high
302140.txt,5,1,5,4,0,0,0,high
338351.txt,4,2,3,3,0,0,0,high
339615.txt,2,4,3,2,0,0,0,low
345396.txt,2,4,2,3,0,0,0,low
373416.txt,4,0,5,5,0,0,0,high
38209.txt,5,1,5,4,0,0,0,high
392518.txt,1,4,5,2,0,0,0,low
395987.txt,5,0,4,5,0,0,0,high
404521.txt,1,3,2,2,0,0,0,low
412197.txt,5,3,4,5,0,0,0,high
425198.txt,1,4,4,5,0,0,0,low
449267.txt,2,3,2,2,0,0,0,low
450359.txt,1,1,4,1,0,0,0,low
496928.txt,2,3,1,1,0,0,0,low
526827.txt,1,4,2,5,0,0,0,low
52951.txt,4,3,2,4,0,0,0,high
535573.txt,5,1,3,5,0,0,0,high
562823.txt,1,4,4,5,0,0,0,low
586583.txt,1,3,4,5,0,0,0,low
589458.txt,1,4,5,2,0,0,0,low
594970.txt,4,0,4,5,0,0,0,high
599905.txt,5,3,3,3,0,0,0,high
609558.txt,5,2,3,2,0,0,0,high
618384.txt,4,3,4,2,0,0,0,high
643139.txt,3,3,5,2,0,0,0,low
644250.txt,1,4,2,1,0,0,0,low
656695.txt,4,1,3,4,0,0,0,high
661830.txt,2,4,4,2,0,0,0,low
67346.txt,5,1,5,5,0,0,0,high
711394.txt,5,1,3,4,0,0,0,high
71654.txt,5,2,2,4,0,0,0,high
716766.txt,4,3,4,5,0,0,0,high
746257.txt,1,4,2,3,0,0,0,low
749940.txt,1,0,2,5,0,0,0,low
755753.txt,5,2,4,5,0,0,0,high
757891.txt,5,2,3,4,0,0,0,high
806909.txt,5,3,3,3,0,0,0,high
832751.txt,4,1,4,3,0,0,0,high
844996.txt,4,2,4,5,0,0,0,high
871631.txt,1,3,2,2,0,0,0,low
913996.txt,4,0,4,3,0,0,0,high
937403.txt,4,3,2,5,0,0,0,high
990384.txt,5,2,3,3,0,0,0,high
